ПІБ	Так	Ні	Утрималися	Не голосували	
Пилипчук Ірина Стахівна	437	0	23	96	
Кульчинська Галина Григорівна	351	2	10	108	
Крюков Олександр Володимирович	572	0	256	19	
Пожарський Петро Володимирович	698	5	12	157	
Чирак Людмила Вікторівна	680	0	73	86	
Хомко Володимир Євгенович	664	21	60	104	
Нестерук Олександр Петрович	680	34	102	39	
Поліщук Назарій Миколайович	717	3	5	151	
Стельмащук Святослав Володимиров	524	15	214	21	
Немеш Василь Михайлович	357	21	75	144	
Романюк Любов Володимирівна	555	13	213	77	
Ковалець Ігор Костянтинович	727	5	61	83	
Бабат Олександр Володимирович	279	4	32	20	
Попик Володимир Володимирович	556	32	47	53	
Сухий Юрій Володимирович	497	9	114	167	
Года Маріян Адамович	512	21	5	60	
Муляренко Олексій ВіталійовичМул	206	5	4	31	
Кузьмич Андрій Вікторович	699	31	55	77	
Гапяк Богдан Володимирович	729	11	76	59	
Загоровський Назарій Богданович	498	2	238	30	
Лащук Анатолій Петрович	611	38	134	91	
Чубай Тетяна Василівна	295	8	70	42	
Іванова Анна Григорівна	440	0	205	49	
Карпяк Олег Віталійович	577	0	255	24	
Осіпчук Юрій Юрійович	457	0	183	41	
Чубай Олександр Степанович	569	4	28	185	
Мітін Юрій Олексійович	347	3	83	24	
Чугуєвець Анатолій Олександрович	729	5	12	105	
Дзецько Олег Вікторович	563	0	261	26	
Яворський Роман Степанович	613	4	234	25	
Бляшин Микола Степанович	205	0	0	122	
Тимощук Тамара Ульянівна	591	1	71	52	
Муляренко Олексій Віталійович	127	0	10	32	
Павелків Віталій Романович	603	26	33	52	
Кудрін Володимир В’ячеславович	283	10	60	145	
Петролюк Роман Васильович	548	1	256	43	
Євтушенко Святослав Ігорович	359	8	112	95	
Курсик Олександр Васильович	583	38	6	75	
Криж Ольга Василівна	494	2	82	170	
Туровська Людмила Валентинівна	626	4	56	87	
Паладійчук Сергій Богданович	694	14	55	110	
Довжаниця Олександр Костянтинови	430	1	198	75	
Стасюк Роман Павлович	355	27	113	367	
Васильчук Сергій Миколайович	681	2	94	56	
