Поіменно

Назва пропозиції:


Питання 84 за основу




Так  ( Голосування: 29 )


Іванова Анна Григорівна

Бабат Олександр Володимирович

Васильчук Сергій Миколайович









Гапяк Богдан Володимирович

Года Маріян Адамович

Дзецько Олег Вікторович









Загоровський Назарій Богданович

Карпяк Олег Віталійович

Ковалець Ігор Костянтинович









Крюков Олександр Володимирович

Кудрін Володимир В’ячеславович

Кузьмич Андрій Вікторович









Курсик Олександр Васильович

Лащук Анатолій Петрович

Мітін Юрій Олексійович









Муляренко Олексій ВіталійовичМул

Нестерук Олександр Петрович

Паладійчук Сергій Богданович









Петролюк Роман Васильович

Пилипчук Ірина Стахівна

Пожарський Петро Володимирович









Поліщук Назарій Миколайович

Попик Володимир Володимирович

Стасюк Роман Павлович









Туровська Людмила Валентинівна

Хомко Володимир Євгенович

Чирак Людмила Вікторівна









Чубай Олександр Степанович

Чугуєвець Анатолій Олександрович










Ні  ( Голосування: 2 )


Довжаниця Олександр Костянтинови

Стельмащук Святослав Володимиров






Утрималися  ( Голосування: 5 )


Євтушенко Святослав Ігорович

Криж Ольга Василівна

Сухий Юрій Володимирович









Чубай Тетяна Василівна

Яворський Роман Степанович










Не голосували  ( Загалом: 1 )


Романюк Любов Володимирівна







28.01.2016 15:37:10

Page 1 of 1

