Поіменно

Назва пропозиції:


Включення до порядку денного розгляд депутатських запитів




Так  ( Голосування: 32 )


Іванова Анна Григорівна

Бабат Олександр Володимирович

Васильчук Сергій Миколайович









Гапяк Богдан Володимирович

Дзецько Олег Вікторович

Довжаниця Олександр Костянтинови









Карпяк Олег Віталійович

Ковалець Ігор Костянтинович

Криж Ольга Василівна









Крюков Олександр Володимирович

Кудрін Володимир В’ячеславович

Кузьмич Андрій Вікторович









Курсик Олександр Васильович

Лащук Анатолій Петрович

Мітін Юрій Олексійович









Муляренко Олексій ВіталійовичМул

Нестерук Олександр Петрович

Паладійчук Сергій Богданович









Петролюк Роман Васильович

Пилипчук Ірина Стахівна

Пожарський Петро Володимирович









Поліщук Назарій Миколайович

Попик Володимир Володимирович

Романюк Любов Володимирівна









Стасюк Роман Павлович

Стельмащук Святослав Володимиров

Туровська Людмила Валентинівна









Чирак Людмила Вікторівна

Чубай Олександр Степанович

Чубай Тетяна Василівна









Чугуєвець Анатолій Олександрович

Яворський Роман Степанович










Ні  ( Голосування: 0 )

Утрималися  ( Голосування: 0 )

Не голосували  ( Загалом: 4 )


Бляшин Микола Степанович

Года Маріян Адамович

Сухий Юрій Володимирович









Хомко Володимир Євгенович



















28.01.2016 15:36:09





Page 1 of 1

