Поіменно

Назва пропозиції:


64. Про припинення права оренди земельної ділянки та розірвання договору оренди земельної ділянку на вул. Тиннівській, 2 (вх. № 1182 від 10.11.2015) [оприлюднено 25.09.2015]. Доповідач: С. Таргоній, начальник Управління земельних відносин. 




Так  ( Голосування: 28 )


Іванова Анна Григорівна

Бляшин Микола Степанович

Дзецько Олег Вікторович









Довжаниця Олександр Костянтинови

Загоровський Назарій Богданович

Карпяк Олег Віталійович









Ковалець Ігор Костянтинович

Криж Ольга Василівна

Крюков Олександр Володимирович









Кузьмич Андрій Вікторович

Курсик Олександр Васильович

Лащук Анатолій Петрович









Немеш Василь Михайлович

Осіпчук Юрій Юрійович

Павелків Віталій Романович









Паладійчук Сергій Богданович

Пилипчук Ірина Стахівна

Поліщук Назарій Миколайович









Попик Володимир Володимирович

Романюк Любов Володимирівна

Стасюк Роман Павлович









Сухий Юрій Володимирович

Тимощук Тамара Ульянівна

Хомко Володимир Євгенович









Чирак Людмила Вікторівна

Чубай Тетяна Василівна

Чугуєвець Анатолій Олександрович









Яворський Роман Степанович












Ні  ( Голосування: 0 )

Утрималися  ( Голосування: 2 )


Мітін Юрій Олексійович

Нестерук Олександр Петрович






Не голосували  ( Загалом: 6 )


Євтушенко Святослав Ігорович

Васильчук Сергій Миколайович

Гапяк Богдан Володимирович









Муляренко Олексій ВіталійовичМул

Пожарський Петро Володимирович

Туровська Людмила Валентинівна















25.02.2016 15:24:09





Page 1 of 1

