ПІБ	Так	Ні	Утрималися	Не голосували	
Максименко Тарас Анатолійович	477	21	30	23	
Грудницький Володимир Миколайови	433	2	97	8	
Крюков Олександр Володимирович	45	0	5	1	
Ковалець Ігор Костянтинович	42	3	1	5	
Пожарський Петро Володимирович	45	2	2	2	
Сачук Олександр Миколайович	483	22	40	7	
Коваленко Володимир Григорович	358	4	61	2	
Хомко Володимир Євгенович	475	15	45	44	
Нестерук Олександр Петрович	334	16	43	22	
Валявка Володимир Ярославович	162	3	33	73	
Радько Микола Олексійович	482	0	65	5	
Стельмащук Святослав Володимиров	28	6	14	3	
Вівсянник Віктор Михайлович	229	0	4	292	
Бобровський Анатолій Леонідович	159	10	185	28	
Кульчинська Галина Григорівна	42	0	2	7	
Романенко Юрій Іванович	440	0	39	52	
Шевчук Руслан Степанович	466	1	30	25	
Бабат Олександр Володимирович	490	1	24	42	
Запорожець Юрій Миколайович	388	0	69	60	
Галайчук Едуард Костянтинович	407	2	90	12	
Євтушенко Святослав Ігорович	118	33	29	132	
Хмилецький Олексій Віталійович	441	0	45	33	
Года Маріян Адамович	308	17	30	31	
Гладун Любомир Володимирович	165	2	120	61	
Кімстач Ніна Іванівна	445	3	91	13	
Кузьмич Андрій Вікторович	45	2	1	3	
Сачук Антон Олександрович	423	5	84	21	
Лащук Анатолій Петрович	37	6	6	2	
Немеш Василь Михайлович	25	6	3	14	
Богатирчук-Кривко Світлана Кирил	451	16	65	17	
Чубай Олександр  Степанович	229	1	16	45	
Загоровський Назарій Богданович	43	0	5	3	
Рязанов Станіслав Анатолійович	133	2	15	17	
Керницький Олексій Богданович	210	0	27	4	
Конощук Марія Василівна	463	3	37	28	
Першогуба Віталій Леонтійович	349	3	64	55	
Смолярчук Ольга Аркадіївна	482	2	60	6	
Іванова Анна Григорівна	28	0	6	17	
Карпяк Олег Віталійович	439	6	106	43	
Петролюк Роман Васильович	44	0	5	1	
Осіпчук Юрій Юрійович	44	0	5	2	
Чирак Людмила Вікторівна	44	5	0	2	
Власенко  Василь Федорович	262	3	22	12	
Чубай Олександр Степанович	33	0	2	16	
Сидоришин Сергій Федорович	461	3	73	11	
Мітін Юрій Олексійович	32	4	10	5	
Виноградова Ірина Павлівна	294	0	47	17	
Зелінська Лариса Володимирівна	334	7	78	93	
Сухий Юрій Володимирович	33	12	4	2	
Чугуєвець Анатолій Олександрович	540	3	16	39	
Озімковська Антоніна Володимирів	432	0	20	97	
Поліщук Назарій Миколайович	43	0	5	3	
Бляшин Микола Степанович	35	1	1	11	
Харковець Василь Степанович	484	4	39	17	
Тимощук Тамара Ульянівна	44	0	2	5	
Муляренко Олексій ВіталійовичМул	37	0	6	8	
Демчук Валентин Вікторович	307	2	60	13	
Хорхолюк Артур Володимирович	430	3	54	9	
Покальчук Ольга Кузьмівна	471	3	65	13	
Кудрін Володимир В’ячеславович	32	7	6	6	
Зиль Володимир Васильович	370	3	12	32	
Шамшин Павло Володимирович	289	4	48	23	
Павелків Віталій Романович	46	3	0	2	
Курсик Олександр Васильович	381	36	4	76	
Лащук Олександр Іванович	447	9	18	74	
Дзецько Олег Вікторович	42	1	7	1	
Остапчук Андрій Олександрович	52	0	4	3	
Пилипчук Ірина Стахівна	43	4	2	2	
Жаровський Михайло Богданович	467	2	34	30	
Чубай Тетяна Василівна	36	3	6	5	
Криж Ольга Василівна	25	11	7	8	
Туровська Людмила Валентинівна	477	23	26	72	
Гапяк Богдан Володимирович	43	2	3	3	
Паладійчук Сергій Богданович	275	23	144	76	
Малашинський В’ячеслав Віталійов	58	0	6	13	
Сідлецький Юрій Юліанович	271	0	25	6	
Яворський Роман Степанович	30	3	11	7	
Довжаниця Олександр Костянтинови	32	12	4	3	
Попик Володимир Володимирович	45	2	1	3	
Стасюк Роман Павлович	23	7	5	13	
Васильчук Сергій Миколайович	406	13	45	22	
Грещук Андрій Васильович	484	3	47	14	
Романюк Любов Володимирівна	26	6	13	6	
